Dates,New Cases,,,
January-2020,37493,,,
February-2020,304360,,,
March-2020,3519291,,,
April-2020,10416385,,,
May-2020,11795981,,,
June-2020,17387383,,,
July-2020,28648171,,,
August-2020,32244607,,,
September-2020,35022752,,,
October-2020,51944879,,,
November-2020,74520238,,,
December-2020,82106127,,,
January-2021,82382391,,,
February-2021,47951819,,,
March-2021,63822418,,,
April-2021,94201776,,,
May-2021,80592709,,,
June-2021,46427741,,,
July-2021,64571889,,,
August-2021,81554043,,,
September-2021,65283111,,,
October-2021,54589955,,,
November-2021,68718415,,,
December-2021,112042466,,,
January-2022,389895258,,,
February-2022,254158378,,,
March-2022,223414493,,,
April-2022,111869879,,,
May-2022,70253920,,,
June-2022,77226662,,,
July-2022,129116436,,,
August-2022,105310353,,,
September-2022,62783015,,,
October-2022,57217264,,,
November-2022,53017423,,,
December-2022,72900780,,,
